,name,area,address,latitude,longitude,naver_store_type
68,100년서서갈비,수유,서울특별시 강북구 미아동 158-10,37.63466500000001,127.025653,"육류,고기요리"
69,100년설렁탕,삼선교,서울특별시 성북구 삼선동2가 38,37.588057,127.009903,"곰탕,설렁탕"
70,100년전통초당순두부,강릉,강원 강릉시 운정동 333,37.786511,128.891968,두부요리
71,100년황태,처인구,경기도 용인시 처인구 718,37.19615,127.207629,"해물,생선요리"
72,100번24시순대돼지국밥,중방동,경상북도 경산시 중방동 231-1,35.832589,128.73394,국밥
73,100번식당,안동,경상북도 안동시 옥동 791-2,36.562885,128.702218,한식
74,100번지 연탄구이,동탄,경기도 화성시 752-3,37.20291,127.124339,한식
75,100번지연탄구이,신당동,서울특별시 중구 신당동 292-152,37.563315,127.016428,"육류,고기요리"
76,100번지연탄구이,공릉동,서울특별시 노원구 공릉동 393-5,37.6262,127.075,한식
77,100번회센타,장성,경상북도 포항시 북구 장성동 1551-8,36.07859000000001,129.38269,"해물,생선요리"
78,100브랜드,강릉,강원 강릉시 회산동 500,37.7395,128.864,브런치
79,100세곱창,정왕동,경기도 시흥시 정왕동 1855-17,37.352158,126.722813,"곱창,막창,양"
80,100세시대추어매운탕,화성시,경기도 화성시,37.211371,126.85467,
81,100세영양탕,연산9동,부산광역시 연제구 연산9동 478-36,35.18538,129.107776,"사철,영양탕"
82,100억곱창,강서구청,서울특별시 강서구 화곡6동 986-22,37.549866,126.847604,"곱창,막창,양"
83,100억알곱창,김포,경기도 김포시 구래동 6882-14,37.644,126.625,"곱창,막창,양"
84,100족발,사당역,서울특별시 동작구 사당동 1041-28 1층,37.47765,126.984108,"족발,보쌈"
85,100족발삶는집,첨단,광주광역시 광산구 월계동 891-4,35.2146,126.846,"족발,보쌈"
86,100퍼센트 자연산 산꼼장어,한성대,서울특별시 성북구 삼선동1가 75,37.587769,127.008696,한식
87,100프로구은닭,명일동,서울특별시 강동구 명일동 248-1,37.548875,127.15309,
88,100회,성수동,서울특별시 성동구 성수동1가 72-100,37.540695,127.048623,생선회
89,1010 감동국수,일산,경기도 고양시 일산서구 대화동 2124-3,37.679246,126.755593,국수
90,1010포르테스,,서울특별시 강남구 삼성동,37.513758,127.0643,
91,1011다이닝키친,봉선동,광주광역시 남구 봉선동 1011-20,35.127533,126.909333,이탈리아음식
92,1013coffee,봉곡동,경상남도 진주시 봉곡동 487-12,35.19483599999999,128.070808,카페
93,101동파스타,함덕,제주특별자치도 제주시 조천읍 함덕리 272-35,33.540678,126.673417,
94,101번지 남산돈까스,용인수지,경기도 용인시 수지구 성복동 23 롯데몰수지점 4층,37.313099,127.080768,101번지남산돈까스
95,101번지 남산돈까스,남산,서울특별시 중구 남산동2가 49-24,37.556959,126.985722,101번지남산돈까스
96,101번지남산돈까스,센트럴시티,서울특별시 서초구 반포동 19-3,37.50450900000001,127.004733,101번지남산돈까스
97,101번지남산돈까스,수원,경기도 수원시 팔달구 인계동 1125-1 갤러리아백화점수원점 지하 푸드코트,37.260953,127.032237,101번지남산돈까스
98,101번지남산돈까스,인사동,서울시 종로구 관훈동 155-2 2층,37.574554,126.983794,101번지남산돈까스
99,101번지남산돈까스,천호동,서울특별시 강동구 천호동 455-8,37.538868,127.124459,101번지남산돈까스
100,101번지남산돈까스,가산디지털단지,서울특별시 금천구 가산동 60-8 현대시티아울렛 7층,37.4776,126.889,101번지남산돈까스
101,101번지남산돈까스,명동,서울특별시 중구 수하동 67 지하1층,37.567334,126.985177,101번지남산돈까스
102,101번지남산돈까스,가든파이브,서울특별시 송파구 문정동 634,37.4777,127.125,101번지남산돈까스
103,101스튜디오,도곡,서울특별시 강남구 도곡동 450,37.482387,127.044172,
104,101커피,가락동,서울특별시 송파구 가락동 41-1,37.49995,127.122863,
105,101커피 컨테이너,인계동,경기도 수원시 팔달구 인계동 1116-1,37.265716,127.036734,
106,101커피컨테이너,논현동,서울특별시 강남구 삼성동 140-3,37.506595,127.048342,
107,101커피컨테이너,약수,서울특별시 중구 신당동 353-97,37.552957,127.008722,101커피컨테이너
108,101커피컨테이너,청계산,서울특별시 서초구 원지동 419-22,37.44345,127.055691,
109,101커피컨테이너,속초관광수산시장,강원도 속초시 124,38.205029,128.58999,101커피컨테이너
110,101커피컨테이너,전농동,서울특별시 동대문구 전농동 10,37.576641,127.060465,101커피컨테이너
111,101커피컨테이너,서초동,서울특별시 서초구 서초동 1720-7,37.493061,127.007726,101커피컨테이너
112,101커피컨테이너,마장면,경기도 이천시 마장면 해월리 365-5,37.219,127.342057,101커피컨테이너
113,101피자,파주,경기도 파주시 목동동 1101-2,37.7199,126.738,
114,102 짬뽕,김해,경상남도 김해시 외동 557,35.229757,128.86198000000002,중식당
115,1023수제햄부대찌개,동탄,경기도 화성시 석우동 3-1,37.224885,127.073307,"찌개,전골"
116,1023양과점,군자,서울특별시 광진구 군자동 125-119,37.55302800000001,127.071107,
117,1024,이태원,서울특별시 용산구 한남동 683-141,37.536448,127.000516,"네일아트,네일샵"
118,102베이커리,화곡역,서울특별시 강서구 화곡동 1073-10,37.540597,126.837569,베이커리
119,102춘천닭갈비,울산,울산광역시 남구 달동 135-1,35.53491,129.32414599999998,닭갈비
120,102커피,삼척,강원도 삼척시 남양동 346-5,37.442098,129.17103,"카페,디저트"
121,102테이블,향남,경기도 화성시 향남읍 하길리 1462,37.117646,126.914755,
122,102트리,고대,서울특별시 성북구 안암동5가 102-95,37.585358,127.028989,카페
123,102포장마차,비산동,대구광역시 서구 비산동 529-1,35.87827700000001,128.571658,
124,102하우스,향남,경기도 화성시 향남읍 행정리 432-11,37.131063,126.917772,
125,1030와규와돈,농서동,경기도 용인시 기흥구 농서동 443-1,37.232902,127.071295,
126,103LAB 카페,묵호진동,강원도 동해시 묵호진동 2-352,37.55321,129.11745,"카페,디저트"
127,103과자점,목포,전라남도 목포시 양동 86-22,34.795821000000004,126.384608,"카페,디저트"
128,103포차,다사,대구광역시 달성군 다사읍 세천리 1593-2,35.8729,128.477,포장마차
129,1058면,하양,경상북도 경산시 하양읍 금락리 132-22,35.911,128.816,일본식라면
130,105pasta,이매,경기도 성남시 분당구 이매1동 115-1,37.395031,127.125626,양식
131,107,조원동,경기도 수원시 장안구 조원동 510,37.296654,127.021523,
132,107page,구미,경상북도 구미시 봉곡동 56-2,36.1586,128.306,"카페,디저트"
133,1080떡볶이,건건동,경기도 안산시 상록구 건건동 632-4,37.304574,126.900698,분식
134,1080호프,홍제동,강원도 강릉시 홍제동 152-15,37.752302,128.881974,
135,108@돌삼겹,탄현,경기도 고양시 일산서구 탄현동 1592-1,37.693269,126.772582,한식
136,108궁돌찜,일산,경기도 고양시 일산서구 탄현동 1592-1,37.693279,126.772619,"아귀찜,해물찜"
137,108호점 닭갈비,이충동,경기도 평택시 이충동 611-1,37.051795,127.05631,
138,109제면소,울산,울산광역시 북구 진장동 284-21,35.57506,129.35741000000002,중식당
139,109퓨전포차,송학동,경상남도 창원시 진해구 송학동 52-31,35.150655,128.66578,요리주점
140,109하우스,강화도,인천광역시 강화군 양도면 건평리 655-23,37.679211,126.400124,"카페,디저트"
141,10E,군산,전라북도 군산시 수송동 828-1,35.969122,126.716757,
142,10G,여의도,서울특별시 영등포구 여의도동 23-1,37.52555,126.926604,"카페,디저트"
143,10꼬르소꼬모,명동,서울특별시 중구 소공동 7,37.5642,126.982,종합패션
144,10막창,종로,서울특별시 종로구 돈의동 102,37.571744,126.99061,"곱창,막창,양"
145,10번가고깃집,불당동,충청남도 천안시 서북구 불당동 1813,36.807604,127.10560900000002,
146,10번야식,동호동,대구광역시 동구 동호동 382-2,35.865057,128.723213,
147,10번지식당,동면,경상남도 양산시 동면 여락리 115-19,35.306219,129.107103,종합분식
148,10억분식,금광동,경기도 성남시 중원구 금광동 681,37.442606,127.165756,
149,10월1일,서촌,서울특별시 종로구 체부동 94,37.57791,126.971047,이자카야
150,10층한우,서울,서울특별시 중구 황학동 2153,37.570328,127.023191,소고기구이
151,10평파스타,망원동,서울시 마포구 망원동 494 삼성화원아파트 상가동 104호,37.557439,126.906657,"스파게티,파스타전문"
152,10호 영성호,,강원도 속초시 장사동,38.226454,128.588061,
153,11-14번지 캐주얼펍,종로,서울특별시 종로구 관철동 11-14,37.568676,126.985855,요리주점
154,1105,여수,전라남도 여수시 문수동 152,34.754402,127.70358,돼지고기구이
155,1105다이닝,장성,전라남도 장성군 삼계면 사창리 70 상무대 쇼핑타운2층,35.25925,126.672684,양식
156,1108,향남,경기도 화성시 향남읍 하길리 1463-5,37.1165,126.915,
157,110양꼬치,대림역,서울특별시 영등포구 대림동 809,37.493933,126.895506,양꼬치
158,111 7meal,어은동,대전광역시 유성구 어은동 111-7 1층,36.363927,127.357923,일식당
159,111커피,태전동,대구광역시 북구 태전동 1040-9,35.927176,128.548281,"카페,디저트"
160,111커피,이동면,경기도 포천시 이동면 장암리 242-16,38.031693,127.36634,
161,112-6 라운지,이태원,서울시 용산구 이태원동 112-6 3F,37.535129,126.994279,
162,1158족욕카페,애월,제주특별자치도 제주시 애월읍 고내리 1158,33.4671,126.337,테마카페
163,117파크,광화문,서울특별시 종로구 신문로2가 1-117,37.571668,126.9707,
164,11818다이닝,강남구청역,서울특별시 강남구 논현동 118-18,37.517232,127.039231,요리주점
165,1183숯불갈비,유성구,대전광역시 유성구 관평동 1183,36.422771,127.394326,"육류,고기요리"
166,118COFFEE,서촌,서울특별시 종로구 옥인동 153-1,37.5808,126.967,카페
167,119 떡볶이,심곡동,경기도 부천시 심곡동 490-129,37.483649,126.789974,분식
168,119낙면야족,장평동,경상남도 거제시 장평동 346-66,34.893390000000004,128.605172,"족발,보쌈"
169,119닭갈비,춘천,강원도 춘천시 퇴계동 968-6,37.858418,127.738304,닭갈비
170,119닭갈비,단구동,강원도 원주시 단구동 1673-13,37.320534,127.957779,닭갈비
171,119닭갈비,제천,충청북도 제천시 장락동 613,37.157749,128.22371299999998,닭갈비
172,119닭발,천호동,서울특별시 강동구 천호2동 307-9,37.544978,127.130116,닭발
173,119닭발,거여동,서울특별시 송파구 거여동 22-11,37.494,127.143924,
174,119반점,평거동,경상남도 진주시 평거동 773-3,35.172843,128.065342,중식당
175,119불닭발,신동면,강원도 철원군 갈말읍 신철원리 710-10,38.145395,127.310668,
176,119불닭발,북부동,경상남도 양산시 북부동 689-1,35.3477,129.039,야식
177,119불닭발,구미,경상북도 구미시 진평동 149-10,36.0918,128.428,닭발
178,119불닭발,망정동,경상북도 영천시 망정동 417-15,35.986488,128.956329,
179,119불닭발,,경상북도 칠곡군 석적읍 중리,36.078274,128.412775,
180,119불닭발,생연동,경기도 동두천시 생연동 613-105,37.906807,127.055862,
181,119불닭발,중부동,경상남도 양산시 중부동 710-1,35.33534,129.02685,
182,119불닭발,구미,경상북도 구미시 임은동 437-30,36.089752,128.35898999999998,닭발
183,119불짬뽕,역곡,경기도 부천시 역곡동 108-5,37.488677,126.813053,중식당
184,119소돼지갈비찜전문점,범어동,대구광역시 수성구 범어동 18-10,35.863619,128.625444,
185,119양푼이,우만동,경기도 수원시 팔달구 우만동 58-27,37.28,127.043,한식
186,119엽기떡볶이,공도읍,경기도 안성시 공도읍 만정리 804-7,37.001145,127.169632,
187,119엽기떡볶이,안성,경기도 안성시 당왕동 551-5,37.013719,127.264853,
188,119엽떡볶이,진안동,경기도 화성시 진안동 860-10,37.215207,127.038316,떡볶이
189,119직구신불닭,처인구,경기도 용인시 처인구 포곡읍 전대리 184-6,37.283523,127.218647,
190,119호프치킨,퇴계원면,경기도 남양주시 퇴계원면 퇴계원리 80-2,37.656038,127.144261,
191,11국수,봉곡동,경상남도 진주시 봉곡동 471-5,35.194426,128.07263500000002,막국수
192,11남매떡볶이,마산,경상남도 창원시 마산합포구 부림동 49-9,35.2057,128.57399999999998,종합분식
193,11맨션,당진,충청남도 당진시 시곡동 53-6 O동 2층,36.903693,126.68299,
194,11번가,청주,충청북도 청주시 상당구 내덕2동 165-71,36.65774,127.49169,
195,11번가커피,의정부2동,경기도 의정부시 의정부2동 564-9,37.73365,127.043244,
196,11번가호프,광명동,경기도 광명시 광명동 158-460,37.476679,126.856533,
197,11번길,김해,경상남도 김해시 관동동 1081-1,35.176336,128.80957800000002,요리주점
198,11번횟집,죽도동,경상북도 포항시 북구 죽도동 557-7,36.036336,129.369424,생선회
199,11월,내촌면,경기도 포천시 내촌면 소학리 144-1,37.816187,127.260781,
200,11월11일,진주,경상남도 진주시 중안동 2-11,35.1949,128.08100000000002,
201,11월29일,부산대,부산광역시 금정구 장전동 302-10,35.229182,129.087289,"카페,디저트"
202,11월의 발자국,부천,경기도 부천시 중동 595-9,37.496831,126.764879,"카페,디저트"
203,11자리,서면,부산광역시 부산진구 부전동 524-40,35.153884000000005,129.055924,바(BAR)
204,11체스터필드웨이,경주,경상북도 경주시 성건동 620-495,35.855766,129.20511000000002,
205,11호 남도 할머니 칼국수,대부도,경기도 안산시 단원구 대부북동 1837-29,37.2702,126.571,"칼국수,만두"
206,11호 횟집,안산,경기도 안산시 단원구 선감동 680,37.204998,126.64547,생선회
207,12 바,홍대,서울시 마포구 서교동 403-21,37.549094,126.920103,바(BAR)
208,1204카페,여수,전라남도 여수시 여서동 227-4,34.752759999999995,127.704881,
209,123 최유강 중국집,삼성동,서울특별시 강남구 대치동 891-52,37.504718,127.054653,
210,1234즉떡,동탄,경기도 화성시 반송동 44-1,37.208613,127.061389,떡볶이
211,123돼지부속,,강원도 원주시 개운동,37.33163,127.950795,
212,123돼지부속,문막,강원도 원주시 문막읍 동화리 1538-2,37.324326,127.830605,돼지고기구이
213,123돼지부속,원주,강원도 원주시 태장2동 1341-25,37.38303,127.95414,돼지고기구이
214,123돼지부속,원주,강원도 원주시 인동 25-13,37.34682100000001,127.953539,돼지고기구이
215,123막창,둔산동,대전광역시 서구 둔산동 1848,36.351048,127.399899,123막창
216,123막창,약사동,울산광역시 중구 약사동 625-22,35.568468,129.342076,"곱창,막창,양"
217,123막창,서면,부산광역시 242-33,35.154649,129.05803400000002,
218,123막창,울산,울산광역시 북구 호계동 254-9,35.629596,129.352982,123막창
219,123막창,서창,경상남도 양산시 삼호동 1005-3,35.4151,129.16841100000002,123막창
220,123막창,진해,경상남도 창원시 진해구 석동 180-12,35.152705,128.703453,123막창
221,123막창,성건동,경상북도 경주시 성건동 696,35.853894,129.205925,123막창
222,123막창,일광면,부산광역시 기장군 기장읍 동부리 155-15,35.24755800000001,129.216206,"곱창,막창,양"
223,123막창,명촌,울산광역시 북구 진장동 808-2,35.556507,129.35635,123막창
224,123막창,삼산,울산광역시 남구 삼산동 1476-9,35.536926,129.336931,한식
225,123반점,물금읍,경상남도 양산시 물금읍 범어리 789,35.329256,129.00378600000002,중식당
226,123삼계탕,항남동,경상남도 통영시 항남동 228-5,34.842163,128.42230800000002,
227,123생선구이,수택동,경기도 구리시 수택동 376-14,37.598021,127.137068,생선구이
228,123식당,,경상북도 경주시 양북면 어일리,35.792927,129.441769,
229,123식당,백석동,경기도 고양시 일산동구 백석동 1314,37.639584,126.790265,"맥주,호프"
230,123포차,본오동,경기도 안산시 상록구 본오동 771-10,37.294112,126.8755,
231,123회관,항남동,경상남도 통영시 항남동 228-5,34.842187,128.422323,
232,123회센타,신월동,경상남도 창원시 의창구 신월동 68-11,35.227719,128.69146,생선회
233,123회센타,수원인계동,경기도 수원시 팔달구 인계동 977,37.26841,127.025635,
234,123회포차,구월동,인천시 남동구 구월3동 1369-15,37.447431,126.696804,
235,123횟집,태인동,전라남도 광양시 태인동 1320-41,34.942667,127.741557,
236,123횟집,안산,경기도 안산시 상록구 일동 118-13,37.310881,126.86634,생선회
237,124번가,마도면,경기도 화성시 마도면 슬항리 220-124,37.202599,126.766759,베이커리
238,124번지삼겹살&amp;동치미국수,곤지암읍,경기도 광주 곤지암읍 곤지암리 488-2,37.341351,127.33842,오리요리
239,1250,전주,전라북도 전주시 완산구 효자동2가 1309-2,35.8106,127.095,이자카야
240,1250오뎅,전주,전라북도 전주시 완산구 효자동2가 1309-2,35.81062700000001,127.095358,"오뎅,꼬치"
241,1253타르트,동천동,경기도 용인시 수지구 동천동 883-11,37.333596,127.096166,베이커리
242,125coffee,후포,경상북도 울진군 후포면 삼율리 282-3,36.678113,129.44176000000002,
243,126street,송도,인천광역시 연수구 송도동 22-22,37.392751,126.645782,바(BAR)
