,name,area,address,latitude,longitude
20599,치킨마루,공덕,서울특별시 마포구 공덕동 256-5,37.545185,126.95343000000001
20601,치킨마루 원주반곡점,단구동,강원도 원주시 단구동 267,37.3373,127.964
20602,치킨마루2지구,상암동,서울특별시 마포구 상암동 1740,37.585041,126.879829
20610,치킨마을,망우동,서울특별시 중랑구 망우동 563-10,37.598392,127.09451000000001
20612,치킨마을,망우역,서울특별시 중랑구 상봉동 268-27,37.600215000000006,127.087911
20614,치킨마트,조리읍,경기도 파주시 조리읍 봉일천리 154-4,37.743059,126.807561
20616,치킨마피아,선단동,경기도 포천시 선단동 376,37.857618,127.162975
20621,치킨맘,강화,인천광역시 강화군 강화읍 관청리 97-1,37.745056,126.49233000000001
20623,치킨망고,안중읍,경기도 평택시 안중읍 송담리 170-2,36.981004999999996,126.937079
20624,치킨매니아,송내동,경기도 부천시 송내동 385-2,37.483831,126.767265
20625,치킨매니아,방학3동,서울특별시 도봉구 방학3동 498-5,37.660474,127.024282
20626,치킨매니아,당정동,경기도 군포시 당정동 974-5,37.3477,126.956
20627,치킨매니아,숭실대,서울특별시 동작구 상도동 504-1,37.4947,126.957
20629,치킨매니아,진영,경상남도 김해시 진영읍 진영리 1615-10,35.3067,128.733
20632,치킨매니아,불로동,인천광역시 서구 불로동 308,37.6177,126.692
20639,치킨매니아,망우,서울특별시 중랑구 망우본동 495,37.5975,127.094
20653,치킨매니아,길음,서울특별시 성북구 길음동 1276,37.602691,127.02373700000001
20661,치킨매니아,재송동,부산광역시 해운대구 재송동 1200,35.177805,129.12210100000001
20664,치킨매니아,양평,경기도 양평군 용문면 다문리 354-8,37.487991,127.595274
20667,치킨매니아,동인천역,인천광역시 중구 인현동 27-39,37.474838,126.62982199999999
20674,치킨매니아,흥덕,경기도 용인시 기흥구 영덕동 1022,37.274465,127.07522900000001
20675,치킨매니아,청라,인천광역시 서구 연희동 767-23,37.538368,126.656218
20679,치킨매니아,중산동,인천광역시 중구 중산동 1872-1,37.496964,126.55511100000001
20685,치킨매니아,포일동,경기도 의왕시 포일동 673,37.397228000000005,126.983149
20686,치킨매니아,남부동,경상남도 양산시 남부동 607-8,35.33128,129.028287
20694,치킨매니아,무전동,경상남도 통영시 무전동 1031-2,34.859302,128.42684599999998
20695,치킨매니아,덕이동,경기도 고양시 일산서구 덕이동 862-9,37.693234999999994,126.741602
20698,치킨매니아,풍무동,경기도 김포시 풍무동 532-3,37.596802000000004,126.72786299999999
20702,치킨매니아,고덕면,경기도 평택시 고덕면 궁리 75,37.015654999999995,127.03440800000001
20703,치킨매니아,광사동,경기도 양주시 광사동 657,37.794338,127.07971299999998
20705,치킨매니아,용현동,경기도 의정부시 용현동 2-2,37.739346000000005,127.085971
20708,치킨매니아,와동동,경기도 파주시 와동동 1368,37.725869,126.75569399999999
20720,치킨매니아,진리동,경기도 이천시 진리동 27-3,37.273168,127.452933
20722,치킨매니아,고암동,경기도 양주시 고암동 585-2,37.832437,127.07416299999998
20723,치킨매니아,성내동,서울특별시 강동구 성내동 164-1,37.535897999999996,127.131372
20724,치킨매니아,탄현면,경기도 파주시 탄현면 법흥리 1580-14,37.770627000000005,126.70469299999999
20726,치킨매니아,광탄면,경기도 파주시 광탄면 신산리 166-7,37.778327000000004,126.849834
20728,치킨매니아,미수동,경상남도 통영시 미수동 397-3,34.828109999999995,128.403499
